,the,and,a,of,is,to[infinitive],in[preposition],it,not,to[preposition],will[verb],this,be,but,have,with,for[preposition],all,what,are,shall,as,that[relative],that[demonstrative],if,sir,do,by[preposition],now,no[adjective],at,am,so[adverbdegree],would,was,from,or,here,may,how,more,that[conjunction],come,there,good,let,then,on[preposition],love,one,must,when,o,see,yet,these,upon[preposition],should,make,can,know,had,man,which[relative],well,too,some,were,such,lord,an,out,take,so[adverbmanner],than,where,hath,why,like[preposition],up[adverb],did,much,never,for[conjunction],give,say,own,go,master,think,heart,tell,honour,life,any,thus,lady,been,name,into,made,no[exclamation],nay,first,men,great,heaven,cannot,leave,speak,both,most,sweet,hand,time,pray,nor,could,hear,look,fair,two,again,death,still,soul,poor,blood,though,ever,art[verb],way,done,world,mistress,eyes,whom,those,before,day,away,none,call,grace,whose,hope,keep,yes,best,live,court,many,down,friend,old,find,nothing,till,noble,off,other,fear,very,stand,being,so[conjunction],gentleman,only,hast,without,TRUE,house,since,long,about,face,in[adverb],better,head,little,who[relative],stay,dare,meet,place,part,die,once,pardon,please,thought,within,sure,who[interrogative],on[adverb],against,another,welcome,lost,dead,might,new,full,shalt,friends,put,else,last,dost,young,bring,word,after,came,over,back,dear,marry,cause
1 Fair Maid of the West,3.463795,3.0217793,2.0654182,1.9850519,1.8564655,1.6153661,1.5992928,1.5108896,1.1251307,1.1572772,1.4064132,0.96439767,0.93225104,1.0367274,1.1251307,0.7875914,1.0849473,0.7152616,0.9402877,0.7634815,0.7634815,0.5947119,0.55452865,0.7634815,0.5866752,0.7152616,0.24913606,0.45005223,0.5625653,0.5625653,0.40183234,0.4420156,0.33753917,0.3053926,0.53845537,0.31342924,0.4420156,0.33753917,0.28128266,0.36164913,0.31342924,0.31342924,0.29735595,0.36164913,0.2571727,0.28128266,0.32146588,0.21698947,0.29735595,0.33753917,0.26520935,0.3053926,0.16073294,0.32950252,0.12858635,0.36968577,0.17680624,0.273246,0.3053926,0.36164913,0.21698947,0.2893193,0.36968577,0.18484288,0.32950252,0.14465965,0.32950252,0.26520935,0.20895283,0.048219882,0.136623,0.17680624,0.31342924,0.20895283,0.11251306,0.26520935,0.24109942,0.20091617,0.096439764,0.20091617,0.1526963,0.16876958,0.28128266,0.18484288,0.19287953,0.20091617,0.11251306,0.136623,0.08840312,0.14465965,0.07232983,0.18484288,0.12858635,0.11251306,0.05625653,0.14465965,0.048219882,0.11251306,0.19287953,0.14465965,0.096439764,0.096439764,0.064293176,0.16073294,0.104476415,0.16073294,0.08840312,0.1526963,0.16073294,0.08036647,0.14465965,0.12858635,0.20091617,0.07232983,0.136623,0.21698947,0.07232983,0.14465965,0.11251306,0.05625653,0.16073294,0.096439764,0.032146588,0.136623,0.136623,0.05625653,0.08036647,0.032146588,0.07232983,0.12858635,0.104476415,0.104476415,0.07232983,0.048219882,0.19287953,0.05625653,0.07232983,0.040183235,0.1526963,0.08840312,0.064293176,0.11251306,0.12858635,0.07232983,0.064293176,0.07232983,0.11251306,0.08036647,0.16073294,0.104476415,0.032146588,0.08036647,0.07232983,0.16073294,0.048219882,0.08840312,0.08036647,0.11251306,0.05625653,0.032146588,0.07232983,0.08840312,0.048219882,0.08840312,0.096439764,0.032146588,0.16073294,0.096439764,0.08840312,0.064293176,0.064293176,0.12858635,0.064293176,0.08840312,0.096439764,0.05625653,0.064293176,0.048219882,0.040183235,0.05625653,0.08036647,0.05625653,0.032146588,0.05625653,0.07232983,0.08036647,0.096439764,0.07232983,0.064293176,0.096439764,0.024109941,0.032146588,0.12054971,0.024109941,0.040183235,0.016073294,0.05625653,0.064293176,0.016073294,0.12054971,0.048219882,0.040183235,0.05625653,0.08840312,0.08036647,0.12054971,0.08840312,0.12054971,0.032146588,0.040183235,0.064293176,0.08036647,0.048219882,0.08840312,0.136623,0.024109941,0.016073294,0.048219882,0.016073294
1 If You Know Not Me You Know Nobody,4.3158765,2.9290001,1.6352721,1.9147174,1.935417,1.6145725,1.1281308,1.3351274,1.2212793,1.3454771,1.3661767,1.583523,1.1591803,0.80728626,0.8176361,0.79693645,0.77623683,0.61063963,0.70378804,0.50714135,0.80728626,0.6002898,0.5588905,0.47609192,0.37259367,0.27944526,0.44504243,0.44504243,0.49679154,0.38294348,0.26909542,0.23804596,0.36224383,0.37259367,0.35189402,0.35189402,0.22769614,0.42434278,0.38294348,0.24839577,0.15524736,0.50714135,0.44504243,0.35189402,0.5174912,0.45539227,0.27944526,0.27944526,0.27944526,0.18629684,0.26909542,0.16559719,0.44504243,0.33119437,0.31049472,0.19664666,0.124197885,0.31049472,0.19664666,0.14489754,0.33119437,0.11384807,0.13454771,0.09314842,0.38294348,0.124197885,0.16559719,0.3001449,0.14489754,0.96253365,0.10349824,0.11384807,0.21734631,0.27944526,0.14489754,0.31049472,0.26909542,0.18629684,0.041399296,0.062098943,0.31049472,0.16559719,0.124197885,0.23804596,0.14489754,0.2587456,0.09314842,0.20699649,0.10349824,0.14489754,0.32084453,0.09314842,0.062098943,0.16559719,0.16559719,0.14489754,0.23804596,0.13454771,0.031049471,0.14489754,0.13454771,0.124197885,0.062098943,0.17594701,0.16559719,0.09314842,0.19664666,0.05174912,0.07244877,0.11384807,0.10349824,0.031049471,0.09314842,0.14489754,0.13454771,0.16559719,0.10349824,0.08279859,0.11384807,0.14489754,0.07244877,0.13454771,0.05174912,0.20699649,0.17594701,0.15524736,0.15524736,0.08279859,0.09314842,0.15524736,0.062098943,0.14489754,0.062098943,0.041399296,0.09314842,0.07244877,0.07244877,0.10349824,0.08279859,0.16559719,0.124197885,0.07244877,0.041399296,0.32084453,0.041399296,0.08279859,0.08279859,0.020699648,0.05174912,0.20699649,0.07244877,0.031049471,0.10349824,0.031049471,0.041399296,0.041399296,0.124197885,0.08279859,0.031049471,0.05174912,0.07244877,0.08279859,0.031049471,0.07244877,0.07244877,0.11384807,0.09314842,0.041399296,0.05174912,0.07244877,0.18629684,0.062098943,0.062098943,0.28979507,0.09314842,0.07244877,0.041399296,0.05174912,0.10349824,0.031049471,0.124197885,0.09314842,0.020699648,0.041399296,0.16559719,0.031049471,0.07244877,0.041399296,0.07244877,0.062098943,0.020699648,0.09314842,0.010349824,0.07244877,0.05174912,0.05174912,0.062098943,0.07244877,0.020699648,0.09314842,0.10349824,0.05174912,0.031049471,0.020699648,0.08279859,0.031049471,0.07244877,0.041399296,0.010349824,0.07244877,0.041399296,0.062098943,0.08279859,0.05174912,0.031049471,0.010349824,0.07244877,0.09314842,0.09314842
1 Old Fortunatus,2.8679318,3.0543473,1.8259165,2.0935903,1.9645332,1.4722049,1.6920798,1.0467951,0.98943645,0.965537,1.0993738,1.4722049,0.8890588,0.9703169,0.7026433,0.85081977,0.71698296,0.73610246,0.42062998,0.61660534,0.6405048,0.5353473,0.53056735,0.5544668,0.40151045,0.09559772,0.32981214,0.54012716,0.4445294,0.40629032,0.33459204,0.40629032,0.15773624,0.18641557,0.1386167,0.2820133,0.30113283,0.42062998,0.1386167,0.26289374,0.37283114,0.35371158,0.2437742,0.23899432,0.18163568,0.22943453,0.28679317,0.43496963,0.39673057,0.28679317,0.21509488,0.35371158,0.5640266,0.51144785,0.26767364,0.43496963,0.18641557,0.18163568,0.32981214,0.21987477,0.07647818,0.14339659,0.1386167,0.28679317,0.14339659,0.10037761,0.2772334,0.17685579,0.19119544,0.07647818,0.17685579,0.22465466,0.15295637,0.20553511,0.21509488,0.16729602,0.23899432,0.21031499,0.33459204,0.20553511,0.1386167,0.08603795,0.23899432,0.3871708,0.09559772,0.08603795,0.07169829,0.11471727,0.12905693,0.06691841,0.109937385,0.09081784,0.028679317,0.20075522,0.13383682,0.12905693,0.06691841,0.12427704,0.081258066,0.18641557,0.11471727,0.14339659,0.07169829,0.06213852,0.1386167,0.08603795,0.14339659,0.08603795,0.08603795,0.043018974,0.12427704,0.15773624,0.19597533,0.14817648,0.033459205,0.07169829,0.10037761,0.052578747,0.057358634,0.11949716,0.13383682,0.18641557,0.11949716,0.14339659,0.11471727,0.18163568,0.22943453,0.019119546,0.06691841,0.11471727,0.1386167,0.06691841,0.057358634,0.24855408,0.028679317,0.2437742,0.028679317,0.18641557,0.04779886,0.11471727,0.11471727,0.18641557,0.07647818,0.033459205,0.081258066,0.014339658,0.057358634,0.04779886,0.09081784,0.057358634,0.12427704,0.08603795,0.18163568,0.03823909,0.08603795,0.07169829,0.07647818,0.06691841,0.004779887,0.09081784,0.09559772,0.07169829,0.043018974,0.109937385,0.13383682,0.11949716,0.004779887,0.109937385,0.08603795,0.033459205,0.109937385,0.009559773,0.11471727,0.109937385,0.057358634,0.13383682,0.043018974,0.028679317,0.12427704,0.07647818,0.10037761,0.07169829,0.033459205,0.03823909,0.081258066,0.028679317,0.14339659,0.09559772,0.03823909,0.019119546,0.043018974,0.028679317,0.07647818,0.04779886,0.052578747,0.028679317,0.052578747,0.02389943,0.043018974,0.06213852,0.028679317,0.02389943,0.109937385,0.13383682,0.009559773,0.019119546,0.07647818,0.04779886,0.03823909,0.043018974,0.009559773,0.04779886,0.04779886,0.019119546,0.057358634,0.03823909,0.04779886,0.03823909,0.004779887
2 Fair Maid of the West,3.425315,3.2273545,1.8056389,1.9856029,1.6136773,1.7036593,1.7036593,1.7576485,1.1337732,1.3437313,1.1217756,1.1697661,1.0437913,1.1037792,1.1697661,0.81583685,0.839832,1.0077984,0.74385124,0.509898,0.6478704,0.7258548,0.48590282,0.6118776,0.60587883,0.269946,0.3239352,0.48590282,0.509898,0.4379124,0.33593282,0.3839232,0.3659268,0.419916,0.4379124,0.49790043,0.48590282,0.2279544,0.2759448,0.3659268,0.3839232,0.38992202,0.1379724,0.2879424,0.1379724,0.2579484,0.2939412,0.2939412,0.1559688,0.2279544,0.18596281,0.2159568,0.2279544,0.16796641,0.2879424,0.4139172,0.1439712,0.3119376,0.3059388,0.44991,0.3059388,0.2879424,0.179964,0.2759448,0.1139772,0.1439712,0.3059388,0.26394722,0.2579484,0.101979606,0.179964,0.089982,0.18596281,0.1379724,0.2579484,0.23995201,0.16796641,0.16796641,0.089982,0.11997601,0.1559688,0.14997001,0.2159568,0.16796641,0.1559688,0.1379724,0.22195561,0.065986805,0.0119976,0.179964,0.1259748,0.11997601,0.2519496,0.179964,0.1919616,0.14997001,0.18596281,0.089982,0.041991603,0.1379724,0.1259748,0.1079784,0.1079784,0.16796641,0.041991603,0.2159568,0.0539892,0.1559688,0.1739652,0.2159568,0.0479904,0.1379724,0.083983205,0.083983205,0.041991603,0.0479904,0.2459508,0.22195561,0.0479904,0.0719856,0.16796641,0.101979606,0.0779844,0.2459508,0.1139772,0.089982,0.065986805,0.083983205,0.089982,0.1379724,0.089982,0.23395321,0.14997001,0.0719856,0.11997601,0.1139772,0.18596281,0.059988003,0.1139772,0.0719856,0.041991603,0.1079784,0.059988003,0.1139772,0.0719856,0.065986805,0.0779844,0.0239952,0.1259748,0.0719856,0.1379724,0.1079784,0.0479904,0.14997001,0.0239952,0.13197361,0.1139772,0.089982,0.179964,0.0959808,0.0539892,0.065986805,0.0239952,0.0359928,0.1259748,0.0719856,0.0779844,0.1139772,0.065986805,0.101979606,0.0479904,0.0059988,0.041991603,0.0959808,0.0359928,0.041991603,0.041991603,0.083983205,0.089982,0.0179964,0.065986805,0.0719856,0.059988003,0.0479904,0.041991603,0.13197361,0.1259748,0.0959808,0.0959808,0.0359928,0.041991603,0.0959808,0.0779844,0.0479904,0.0719856,0.041991603,0.0179964,0.0359928,0.065986805,0.0479904,0.065986805,0.029994002,0.0479904,0.059988003,0.083983205,0.0779844,0.041991603,0.0479904,0.0359928,0.0119976,0.083983205,0.0779844,0.065986805,0.065986805,0.0239952,0.0779844,0.029994002,0.0059988,0.083983205
2 Honest Whore,3.161899,2.272615,2.9049947,1.6056519,2.4998765,1.4080333,1.3240453,1.7291635,1.1807717,1.0127958,1.2548788,1.05726,1.0967838,0.91892695,0.9337483,0.7114273,0.8744627,0.73612964,0.66202265,0.82505804,0.51874906,0.67190355,0.44958252,0.602737,0.58297515,0.73612964,0.53357047,0.4100588,0.42982066,0.602737,0.46440393,0.3458327,0.30630898,0.33101133,0.4100588,0.22232103,0.23714243,0.4248802,0.2272615,0.36065412,0.34089226,0.29148757,0.37547553,0.30630898,0.47428486,0.30630898,0.4248802,0.34089226,0.16797589,0.3458327,0.1976187,0.33595178,0.31618991,0.33101133,0.36065412,0.2124401,0.22232103,0.29642805,0.23220196,0.1976187,0.22232103,0.19267823,0.40017787,0.18773776,0.3507732,0.14821403,0.21738057,0.21738057,0.16797589,0.48910627,0.2865471,0.35571364,0.16303542,0.29148757,0.20749962,0.12351169,0.083987944,0.2124401,0.37547553,0.24702337,0.13833308,0.09880935,0.20255916,0.2420829,0.19267823,0.20749962,0.14821403,0.2124401,0.17785682,0.09386888,0.064226076,0.13339262,0.044464204,0.06916654,0.23714243,0.18773776,0.118571214,0.12845215,0.17785682,0.09880935,0.14821403,0.17785682,0.12351169,0.12845215,0.1976187,0.03952374,0.054345142,0.13833308,0.06916654,0.054345142,0.09386888,0.07410701,0.14327355,0.11363075,0.06916654,0.25196382,0.17785682,0.083987944,0.118571214,0.15315449,0.09386888,0.14821403,0.10374981,0.014821402,0.10374981,0.054345142,0.1976187,0.07410701,0.118571214,0.06916654,0.13833308,0.014821402,0.07410701,0.083987944,0.14327355,0.06916654,0.07904748,0.15809496,0.108690284,0.12351169,0.13833308,0.09386888,0.09386888,0.044464204,0.03952374,0.044464204,0.10374981,0.23714243,0.07904748,0.07904748,0.03458327,0.108690284,0.13833308,0.009880935,0.31124943,0.009880935,0.09386888,0.07410701,0.06916654,0.059285607,0.07410701,0.03458327,0.13833308,0.064226076,0.09880935,0.07410701,0.07410701,0.083987944,0.07410701,0.059285607,0.108690284,0.12845215,0.07410701,0.083987944,0.09880935,0.108690284,0.07904748,0.054345142,0.083987944,0.08892841,0.03952374,0.049404673,0.03458327,0.03458327,0.01976187,0.059285607,0.049404673,0.10374981,0.024702337,0.03458327,0.014821402,0.03458327,0.08892841,0.08892841,0.09386888,0.054345142,0.03458327,0.07410701,0.03952374,0.049404673,0.044464204,0.064226076,0.03458327,0.049404673,0.014821402,0.064226076,0.054345142,0.044464204,0.11363075,0.049404673,0.029642804,0.059285607,0.049404673,0.029642804,0.083987944,0.049404673,0.029642804,0.07904748,0.004940467
2 If You Know Not Me You Know Nobody,3.4490135,3.2939415,2.6201808,2.2030907,1.8501685,1.5614139,1.6041923,1.7164857,1.0373777,1.1015453,1.3582162,1.128282,1.042725,0.93043154,1.197797,0.85022193,1.1496712,0.5347308,0.7165392,0.58285654,0.5775092,0.6898027,0.51334155,0.40104806,0.47056308,0.55077267,0.55612,0.5721619,0.3582696,0.31014383,0.486605,0.37431154,0.29944924,0.29944924,0.32083845,0.21389231,0.3582696,0.55077267,0.25667077,0.29410192,0.24597615,0.30479655,0.3582696,0.33153307,0.66306615,0.17646115,0.32618576,0.14972462,0.20319769,0.2673654,0.32083845,0.24597615,0.11764077,0.2834073,0.25667077,0.24597615,0.1443773,0.25132346,0.22458692,0.08020961,0.3582696,0.2887546,0.39570075,0.13903,0.26201808,0.16576654,0.14972462,0.19250308,0.26201808,0.12833539,0.24062884,0.18715577,0.22993423,0.21389231,0.20319769,0.18180846,0.31014383,0.19250308,0.101598844,0.15507191,0.1443773,0.18180846,0.11229346,0.16576654,0.208545,0.19250308,0.101598844,0.09625154,0.78070694,0.21923961,0.101598844,0.106946155,0.032083847,0.18180846,0.14972462,0.069515,0.085556924,0.17646115,0.20319769,0.09625154,0.1336827,0.069515,0.19785038,0.106946155,0.208545,0.07486231,0.09625154,0.106946155,0.11764077,0.09625154,0.19250308,0.058820385,0.021389231,0.18715577,0.1443773,0.09625154,0.09625154,0.058820385,0.06416769,0.09090423,0.09090423,0.13903,0.06416769,0.04812577,0.06416769,0.026736539,0.1336827,0.026736539,0.12833539,0.053473078,0.09090423,0.09090423,0.15507191,0.04812577,0.032083847,0.04812577,0.037431154,0.037431154,0.11229346,0.12833539,0.09090423,0.085556924,0.069515,0.069515,0.042778462,0.1336827,0.101598844,0.032083847,0.058820385,0.106946155,0.06416769,0.11229346,0.04812577,0.106946155,0.1336827,0.042778462,0.037431154,0.069515,0.037431154,0.037431154,0.069515,0.053473078,0.069515,0.06416769,0.12833539,0.058820385,0.058820385,0.07486231,0.037431154,0.08020961,0.07486231,0.058820385,0.06416769,0.06416769,0.106946155,0.026736539,0.09625154,0.08020961,0.021389231,0.058820385,0.032083847,0.053473078,0.016041923,0.053473078,0.101598844,0.058820385,0.04812577,0.04812577,0.026736539,0.042778462,0.058820385,0.069515,0.06416769,0.042778462,0.04812577,0.04812577,0.032083847,0.1336827,0.042778462,0.053473078,0.058820385,0.085556924,0.053473078,0.010694616,0.16576654,0.026736539,0.042778462,0.037431154,0.053473078,0.09090423,0.07486231,0.069515,0.06416769,0.021389231,0.069515,0.032083847,0.037431154,0.058820385,0.058820385
Brothers,2.3237178,3.4989316,2.3103633,1.6893697,2.0432692,2.250267,1.2219552,1.5958867,1.8028846,1.3354701,0.93482906,1.0750535,1.0616987,0.9682158,0.9415064,1.1151175,0.68108976,0.6543803,0.5608974,0.5675748,0.6076389,0.44070512,0.5942842,0.44070512,0.7745727,0.66773504,0.48744658,0.48744658,0.40731838,0.58092946,0.27377138,0.44070512,0.39396366,0.42067307,0.4340278,0.34054488,0.38060898,0.24706197,0.64102566,0.37393162,0.35389957,0.24706197,0.18696581,0.3071581,0.1736111,0.24706197,0.16025642,0.20032051,0.49412394,0.29380342,0.53418803,0.3672543,0.08680555,0.19364317,0.22702992,0.100160256,0.38060898,0.31383547,0.33386752,0.3672543,0.3071581,0.29380342,0.14022435,0.23370726,0.16025642,0.28712606,0.32051283,0.22702992,0.23370726,0.100160256,0.22702992,0.120192304,0.21367522,0.033386752,0.18028846,0.28712606,0.26709402,0.073450856,0.20032051,0.073450856,0.26041666,0.2804487,0.08680555,0.08680555,0.18028846,0.13354701,0.18028846,0.073450856,0.026709402,0.21367522,0.25373933,0.120192304,0.25373933,0.14690171,0.14022435,0.16693376,0.11351496,0.16693376,0.14022435,0.19364317,0.13354701,0.040064104,0.046741452,0.12686966,0.10683761,0.046741452,0.11351496,0.15357906,0.20699786,0.093482904,0.16693376,0.100160256,0.046741452,0.033386752,0.16025642,0.020032052,0.053418804,0.120192304,0.12686966,0.08680555,0.15357906,0.066773504,0.120192304,0.040064104,0.08680555,0.14690171,0.15357906,0.1736111,0.060096152,0.053418804,0.073450856,0.073450856,0.033386752,0.14690171,0.14690171,0.14022435,0.08680555,0.093482904,0.100160256,0.060096152,0.073450856,0.033386752,0.093482904,0.020032052,0.18696581,0.20699786,0.060096152,0.08012821,0.053418804,0.16693376,0.026709402,0.046741452,0.013354701,0.100160256,0.08680555,0.1736111,0.08680555,0.120192304,0.18696581,0.093482904,0.073450856,0.100160256,0.08012821,0.013354701,0.026709402,0.15357906,0.10683761,0.060096152,0.11351496,0.10683761,0.033386752,0.066773504,0.066773504,0.073450856,0.060096152,0.066773504,0.033386752,0.066773504,0.006677351,0.093482904,0.073450856,0.026709402,0.14022435,0.08680555,0.093482904,0.053418804,0.060096152,0.026709402,0.093482904,0.08680555,0.08680555,0.11351496,0.060096152,0.033386752,0.060096152,0.073450856,0.073450856,0.066773504,0.08680555,0.08680555,0.053418804,0.040064104,0.026709402,0.046741452,0.026709402,0.033386752,0.040064104,0.08012821,0.08680555,0.060096152,0.066773504,0.053418804,0.046741452,0.060096152,0.026709402,0.033386752,0.020032052,0.073450856,0.093482904
Cardinal,3.7877166,3.274128,2.5322776,1.7547613,2.0400884,2.5037448,1.3053713,1.6334974,1.7904273,1.2768385,1.0557101,1.091376,0.95584565,1.0557101,0.94871247,0.9986447,0.6633854,0.61345315,0.47792283,0.5635209,0.52072185,0.38519153,0.5777873,0.52072185,0.67765176,0.38519153,0.49932235,0.44225693,0.44225693,0.4493901,0.37092516,0.37092516,0.48505598,0.4565233,0.34239247,0.29246023,0.32099295,0.20686212,0.47078964,0.29959342,0.37805834,0.23539482,0.26392752,0.25679436,0.14266352,0.20686212,0.17832941,0.22826165,0.26392752,0.2139953,0.49932235,0.52785504,0.06419859,0.17832941,0.2781939,0.06419859,0.28532705,0.24966118,0.2710607,0.18546258,0.22826165,0.39232472,0.2781939,0.32099295,0.16406305,0.2781939,0.34239247,0.26392752,0.20686212,0.35665882,0.24252799,0.12839718,0.2781939,0.049932234,0.2139953,0.15692988,0.14266352,0.07133176,0.14266352,0.20686212,0.14979671,0.28532705,0.10699765,0.06419859,0.16406305,0.09986447,0.31385976,0.06419859,0.014266353,0.25679436,0.15692988,0.121263996,0.26392752,0.14979671,0.08559812,0.10699765,0.20686212,0.16406305,0.10699765,0.10699765,0.17119624,0.03566588,0.028532706,0.10699765,0.08559812,0.24252799,0.17832941,0.13553035,0.23539482,0.10699765,0.06419859,0.12839718,0.07133176,0.14979671,0.14266352,0.09273129,0.08559812,0.10699765,0.049932234,0.17119624,0.07846494,0.08559812,0.17119624,0.20686212,0.08559812,0.2139953,0.08559812,0.19972894,0.09986447,0.07133176,0.04279906,0.09986447,0.12839718,0.18546258,0.03566588,0.09273129,0.13553035,0.07133176,0.10699765,0.057065412,0.057065412,0.07133176,0.14979671,0.20686212,0.15692988,0.06419859,0.08559812,0.03566588,0.03566588,0.07133176,0.10699765,0.049932234,0.03566588,0.07133176,0.02139953,0.15692988,0.09986447,0.10699765,0.114130825,0.09986447,0.114130825,0.09986447,0.028532706,0.014266353,0.02139953,0.057065412,0.08559812,0.06419859,0.03566588,0.121263996,0.02139953,0.007133177,0.07846494,0.06419859,0.08559812,0.06419859,0.04279906,0.07846494,0.07846494,0.09986447,0.057065412,0.06419859,0.121263996,0.121263996,0.03566588,0.07846494,0.07133176,0.04279906,0.09986447,0.09273129,0.15692988,0.06419859,0.057065412,0.06419859,0.049932234,0.10699765,0.15692988,0.02139953,0.08559812,0.03566588,0.114130825,0.07846494,0.014266353,0.007133177,0.03566588,0.04279906,0.028532706,0.07133176,0.028532706,0.057065412,0.06419859,0.02139953,0.08559812,0.08559812,0.04279906,0.057065412,0.04279906,0.028532706,0.08559812
